Disease,Study Name,Eligibility Criteria
Hypertension,Subcutaneous Treprostinil as a Bridge to Lung Transplantation in Severe Pulmonary Hypertension: A Single-Arm Retrospective Study,"Inclusion Criteria:

* Patients diagnosed with severe pulmonary hypertension (PAH or CLD-PH) requiring lung transplantation
* Age 18 years or older
* Able to provide informed consent

Exclusion Criteria:

* Patients with PH caused by left heart disease
* Patients unable to undergo lung transplantation due to medical conditions
* Patients with a history of severe drug allergies"
Hypertension,The Endothelium Dysfunction in Patients of Obstructive Sleep Apnea Syndrome,"Inclusion Criteria:

- 1.OSA with AHI\>30 2.Male patients with hypertension 3.LDL over 130 mg/dL without any lipid-lowering drug therapy in recent 6 months 4.Signed inform consent and cooperative

Exclusion Criteria:

- 1.Non-cooperative 2.Can't sign inform consent. 3.Had proven major cardiovascular complication such as AMI, CVA. 4.Major chronic disorders and inflammatory disorders: such as DM, ESRD, COPD or rheumatoid arthritis. 5.Under anti-inflammatory medication: such as aspirin, NSAID, steroids, theophylline etc. 6.Acute of chronic infection 1 weeks between blood drawing period will be discarded 7.Study medication will be discontinued among subjects who develop myopathy (CK ≥10 times ULN and muscle aches or weakness) or a persistent elevation in ALT (≥3 times ULN on 2 consecutive tests)."
Hypertension,Results of Mass Switch From Latanoprost to Travoprost,"Inclusion Criteria:

1. Patients on treatment with latanoprost for at least 12 weeks; patients who are on additional beta-blockers topically will also be eligible.
2. Written informed consent. -

Exclusion Criteria:

1. Patients on 3 or more topical medications.
2. Recorded history of intolerance to travoprost.
3. Recorded history of inefficacy of travoprost in controlling IOP.
4. Patients on any additional topical medication other than beta-blockers.
5. History of non-compliance.
6. Involvement in any other concomitant study. -"
Hypertension,Microinvasive Glaucoma Surgery -The Lowering Effect of Intraocular Pressure on Glaucoma Patients With High Frequency Deep Sclerotomy,"Inclusion Criteria:

* Patients with chronic open angle glaucoma and were indicated for surgery due to either progression of field defect and raised intraocular pressure above 21 mmHg in spite of maximum medical treatment or for patients who were not compliant patient to their medical treatment.

Exclusion Criteria:

* Patients with close-angle, congenital, traumatic, neovascular, and uveitic glaucoma, patients with prior penetrating and nonpenetrating glaucoma surgeries or laser therapy, and eyes with corneal opacity precluding visualization of the angle."
Hypertension,Effect of Renal deNervation on Arterial Stiffness and Haemodynamics in Patients With UncontRolled hypErtension (ENSURE),"Inclusion Criteria:

* Individual is ≥ 18 and ≤ 80 years old at time of randomization.
* Individual is receiving a stable medication regimen including full tolerated doses of 3 or more anti-hypertensive medications of different classes, of which one must be a diuretic (with no changes for a minimum of 2 weeks prior to screening) that is expected to be maintained without changes for at least 6 months.
* Individual has an office systolic blood pressure (SBP) of ≥ 160 mmHg based on an average of 3 blood pressure readings measured at both an initial screening visit and a confirmatory screening visit

Exclusion Criteria:

* Individual has an estimated glomerular filtration rate (eGFR) of \< 45 mL/min/1.73 m2
* Individual has an Ambulatory Blood Pressure Monitoring (ABPM) 24 hour average SBP \< 135 mmHg
* Individual has type 1 diabetes mellitus
* Individual requires chronic oxygen support or mechanical ventilation (e.g., tracheostomy, CPAP, BiPAP) other than nocturnal respiratory support for sleep apnea.
* Individual has primary pulmonary hypertension.
* Individual is pregnant, nursing or planning to be pregnant."
Hypertension,A Mobile Personal Health Record for Behavioral Health Homes,"Inclusion Criteria:

* one or more of the following conditions: hyperlipidemia, hypertension, diabetes
* able to give consent
* patient in the behavioral health home

Exclusion Criteria:

* Unable to give consent"
Hypertension,Colonic Polypectomy in Cirrhotic Patients With Portal Hypertension,"Inclusion Criteria:

* All liver cirrhosis patients with portal hypertension and colonic polyps

Exclusion Criteria:

* Patients with platelet count less than 50,000/µL.
* Patients with hemoglobin levels less than 8 g/dL.
* Prothrombin Time more than 20 seconds."
Hypertension,The Detection of Glaucoma Using Pupillography,"Inclusion Criteria:

* Age 40 years or older at enrollment
* Presenting visual acuity better than 20/100 in both eyes
* Spherical equivalent refractive error within the range of 4.0 and -6.0 diopters in both eyes

Exclusion Criteria:

* Ocular surgery in either eye within 3 months"
Hypertension,Evaluation of Hyperemia With the Use of Ocular Prostaglandin Analogues,"Inclusion Criteria:

* Diagnosis of open-angle glaucoma (pseudoexfoliative or pigmentary glaucomas are allowed) or ocular hypertension

Exclusion Criteria:

* Known contraindication to latanoprost, bimatoprost or travoprost
* Uncontrolled systemic disease
* Active ocular disease other than glaucoma or ocular hypertension
* Pregnant or lactating women or women of childbearing potential NOT utilizing a medically acceptable form of birth control"
Hypertension,Sotatercept on Central Cardiopulmonary Performance and Peripheral Oxygen Transport During Exercise in Pulmonary Arterial Hypertension,"Inclusion Criteria

* Informed consent obtained before any trial-related activities. Trial-related activities are any procedures that are carried out as part of the trial, including activities to determine suitability for the trial.
* NYHA Class II-IV.
* LVEF ≥ 40 % within the preceding year.
* No recent initiation of pulmonary vasodilator in the last 60 days.
* Pulmonary arterial hypertension by right heart catheterization (Mean PA pressure ≥ 20 mmHg with PVR\>2 Wood units) with no evidence of heart failure with preserved ejection fraction (exercise PCWP \<25 mm Hg).
* Symptomatic PAH patients with plan to undergo exercise RHC for reassessment of exertional symptoms.

Exclusion Criteria

* Myocardial infarction, stroke, hospitalization for heart failure, unstable angina pectoris or transient ischemic attack within 30 days prior to the day of screening.
* Planned coronary, carotid, or peripheral artery revascularization.
* Any other condition judged by the investigator to be the primary cause of dyspnea (such as heart failure due to restrictive cardiomyopathy or infiltrative conditions (e.g., amyloidosis), hypertrophic obstructive cardiomyopathy, anemia, or more than moderate mitral or aortic heart valve disease).
* Wheelchair bound or orthopedic inability to exercise.
* Chronic hypoxemia with inability to exercise without oxygen supplementation.
* Skeletal muscle myopathy.
* History of rhabdomyolysis.
* Participation in any clinical trial of an approved or non-approved device for the treatment of pulmonary hypertension within 30 days before screening.
* Receipt of any investigational medicinal product within 30 days before screening.
* Female who is pregnant, breast-feeding or intends to become pregnant or is of child-bearing potential and not using a highly effective contraceptive method.
* Major surgery scheduled for the duration of the trial, affecting walking ability in the opinion of the investigator.
* Any disorder, including severe psychiatric disorder, suicidal behavior within 90 days before screening, and suspected drug abuse, which in the investigator´s opinion might jeopardize subject´s safety or compliance with the protocol."
Hypertension,ADAMTSL4 in Idiopathic Pulmonary Hypertension and CTEPH,"Inclusion Criteria:

- Healthy people，patients with IPAH，patients with CTEPH

Exclusion Criteria:

- tumour，infection，Pregnancy, suckling period， Mental disorders，

Other types of PAH except CTEPH and IPAH"
Hypertension,"A Study to Learn About How Well Riociguat Works, How Safe it is and How it is Used Under Real World Conditions in Patients in the United States Who Are Receiving Riociguat for High Blood Pressure in the Arteries That Carry Blood From the Heart to the Lungs (Pulmonary Arterial Hypertension, PAH)","Inclusion Criteria:

* Patients aged ≥18 years at the time of riociguat treatment initiation
* Diagnosis of PAH per National Institute for Health and Care Excellence (NICE) 2018 classification
* Decision to initiate treatment with riociguat as per investigator's routine treatment practice made prior to enrollment in the study
* Initiation of riociguat, as per the FDA-approved US label:

  * At enrollment OR
  * ≤90 days prior to enrollment, with a documented titration regimen (defined as all documented dose changes including, but not limited to: starting dose and dates and highest tolerated dose and dates)
* Signed informed consent

Exclusion Criteria:

* Previously treated with and discontinued use of riociguat for any reason prior to study enrollment (discontinuation defined as an interruption of therapy ≥30 days)
* Participating in any of the following:

  1. Blinded clinical trial
  2. Clinical trial involving an unapproved drug
  3. Investigational program with interventions outside of routine clinical practice
* Life expectancy \<12 months
* Contraindicated to receive riociguat per the FDA approved US label
* Use of nitrates or NO donors in any form
* Use of PDE5 inhibitors
* PH associated with idiopathic interstitial pneumonias
* Unable or unwilling to provide informed consent"
Hypertension,Home Blood Pressure Monitoring in Kidney Transplant Recipients,"Inclusion Criteria:

1. Kidney transplant recipient
2. Male or female subject ≥ 18 years old
3. Any or more of the following at the baseline clinic

   * Conventional office BP ≥130 mmHg systolic and/or ≥ 80 mmHg diastolic
   * HBPM ≥125 mmHg systolic and/or ≥ 80 mmHg diastolic measured within the last 3 months (see appendix 1 for details on methodology)
   * Daytime ambulatory blood pressure monitoring (ABPM) ≥125 mmHg systolic and/or ≥ 80 mmHg diastolic measured within the last 3 months
4. Signed informed consent and expected cooperation of the patient for the treatment and follow up.
5. Have a national personal identification number and not be expected to emigrate during study
6. Enlisted in the Norwegian Renal Registry

Exclusion Criteria:

1. Standing systolic BP \< 110 mmHg (to avoid adverse events). Measured after one and three minutes of standing. Not applicable if unable to stand due to wheelchair use.
2. Diagnosed atrial fibrillation (automated monitors not validated)
3. Unwilling to self-monitor
4. Female participant who is pregnant, lactating or planning pregnancy during the trial (management of essential hypertension in pregnancy is different)
5. Arm circumference too large or small to allow accurate BP measurement with available device (22-42 cm).
6. Any reason likely limiting adherence to interventions, as judged by the investigator; examples include active alcohol or substance abuse within the last 12 months, significant poor compliance with medications or attendance at clinic visits, residence in a nursing home, dementia, other medical or psychiatric conditions that may interfere with study participation.
7. Graft- or life expectancy less than 2 years, as judged by the investigator.
8. Current use of ≥ 4 antihypertensive medications
9. More than half of regular appointments planned as remote (e.g. phone or video) consultations.
10. Severe white-coat hypertension, e.g. patients already treated solely based on home BP values.
11. Multi-organ transplants (e.g. heart, lung, liver), though pancreas or beta-cell islet transplant is allowed."
Hypertension,A Study to Evaluate the Efficacy and Safety of Combination Treatment of Fimasartan/Atorvastatin in Patients With Essential Hypertension and Dyslipidemia,"Inclusion Criteria:

1. Voluntarily provided a written consent to participate in this clinical study
2. Male or female adults aged 19-70 years
3. Patients must have been confirmed essential hypertension and dyslipidemia at Screening visit (V1)
4. Uncontrolled blood pressure (140 mmHg ≤ mean SiSBP \< 180 mmHg) at the pre- baseline visit (V2) after wash-out period
5. Able to understand this study, be cooperative in the execution of the study, and participate in the study until its completion

Exclusion Criteria:

1. Severe hypertension with mean Sitting systolic blood pressure(SiSBP)≥180 mmHg or Sitting diastolic blood pressure(SiDBP) ≥110 mmHg at the screening visit (V1) and the pre-baseline visit (V2), or orthostatic hypotension accompanied by symptoms
2. Difference of Sitting systolic blood pressure(SiSBP) ≥ 20 mmHg and Sitting diastolic blood pressure(SiDBP) ≥ 10 mmHg between Lt and Rt arms for 3 consecutive times at the screening visit (V1)
3. Secondary hypertension patients: Secondary hypertension is not limited to the following diseases; (e.g., renovascular disease, adrenal medullary and cortical hyperfunctions, coarctation of the aorta, hyperaldosteronism, unilateral or bilateral renal artery stenosis, Cushing's syndrome, pheochromocytoma, and polycystic kidney disease)
4. Uncontrolled diabetes mellitus (currently on insulin, or HbA1c \>9% at the pre-baseline visit (V2)), or uncontrolled hypothyroidism (TSH ≥1.5 times the upper limit at the pre-baseline visit (V2))
5. Heart disease (heart failure of New York Heart Association (NYHA) class 3 and 4), or ischemic heart disease (angina pectoris, myocardial infarction), peripheral vascular diseasenewly diagnosed within 6 months prior to the screening visit (V1), percutaneous transluminal coronary angioplasty, or coronary artery bypass graft, etc.
6. Clinically significant ventricular tachycardia, atrial fibrillation, atrial flutter; or other arrhythmia conditions that are determined to be clinically significant by the investigator
7. Hypertrophic obstructive cardiomyopathy, severe obstructive coronary artery disease, aortic stenosis, or hemodynamically significant aortic valve stenosis or mitral valve stenosis
8. Cerebrovascular disorder (stroke, cerebral infarction, transient cerebral ischemic attack, cerebral hemorrhage, etc. within 6 months prior to the screening visit (V1)
9. Pregnant or lactating women"
Hypertension,Pharmacokinetics of Understudied Drugs Administered to Children Per Standard of Care,"Inclusion Criteria:

* 1) Children (\< 21 years of age) who are receiving understudied drugs of interest per standard of care as prescribed by their treating caregiver

Exclusion Criteria:

* 1) Failure to obtain consent/assent (as indicated)
* 2) Known pregnancy as determined via interview or testing if available."
Hypertension,Phenylephrine Versus Ephedrine in Pre-eclampsia,"Inclusion Criteria:

* English speaking
* Age ≥18 yrs
* Pre-eclampsia (mild, or severe)
* Non-laboring women
* CD under spinal anesthesia

Exclusion Criteria:

* Height \< 5'0""
* Allergy to phenylephrine or ephedrine, or any other standardized medication
* Severe Cardiac disease in pregnancy with marked functional limitations (NYHA Class III and IV)
* Patients on Monoamine Oxidase Inhibitors or Tricyclic Antidepressants
* History of recent amphetamine or cocaine use.
* Subject enrollment in another study involving a study medication within 30 days of CD
* Any other physical or psychiatric condition which may impair their ability to cooperate with study data collection"
Hypertension,Telemonitoring and E-Coaching in Hypertension,"Inclusion Criteria:

* Age ≥18 years
* Hypertension (\>140/90)
* Have and use a smartphone or a partner/caregiver who is able to provide the necessary technical support
* Able to provide written informed consent prior to participation in the study

Exclusion Criteria:

* Current user of a blood pressure monitor apporoved by the Dutch Heart foundation in combination with the Luscii app
* Persistent atrial fibrillation as indicated in the electronic health record (EHR)
* Pregnant or planning to become pregnant during the study period
* Severe kidney disease, defined as estimated glomerular filtration rate \<30 per 1.73 m2 or currently on renal replacement therapy (i.e. hemodialysis or peritoneal dialysis)
* Unable to communicate (not language specific)
* Recent cardiovascular event (ischemic stroke, transient ischemic attack, myocardial infarction, coronary artery bypass grafting) in the past 3 months
* Diagnosis of dementia, psychosis as indicated in the electronic health record
* Life expectancy \<1 year, for instance in terminal cancer or NYHA III or IV heart failure
* Individuals requiring BP monitor cuff size larger than 42cm
* Patients with proven secondary cause of hypertension for which drug treatment is not first choice (e.g. excessive licorice use, proven renal artery stenosis etc)"
Hypertension,Social Work Intervention Focused on Transitions,"Inclusion Criteria:

* Age 65 or more
* English-speaking
* Community dwelling (own home, vs. assisted living facility/skilled care)
* Living within specified service net
* Cognitively intact (as measured by a score of 5 or more on the SPMSQ)
* Meeting at lease one or more of the following:
* Age 75 or more
* Taking 5 or more prescription medications
* Had at least one inpatient admission or emergency department visit in previous 6 months

Exclusion Criteria:

* Age 64 or younger
* Non-English speaking
* Diagnosed with end-stage renal disease
* Hospice recipient
* Diagnosis of Alzheimer's disease or severe dementia
* Residing in assisted living or skilled care facility
* Homeless"
Hypertension,Evaluation of Metformin Activity in Addition to Conventional Treatment of Grade II or III Pulmonary Arterial Hypertension (PAH),"Inclusion Criteria:

* Men or women aged between 18 and 80
* Patients included will have pre-capillary PAH
* they have to be stable for more than 3 months
* Patient with a 6-minute walk test comparable over the last 3 months before inclusion
* Informed consent signed"
Hypertension,Postpartum Video Education,"Inclusion Criteria:

* Age \>18 years
* Speaks English or Spanish
* Informed and written consent
* Delivered at Yale New Haven Hospital (YNHH)
* Received prenatal, and will receive postpartum, care through a YNHH-affiliated obstetric and/or midwifery practice

Exclusion Criteria:

* Patients who do not plan to receive postpartum care within the YNHH system
* Patients who experience an intrauterine fetal demise
* Patients who have a pregnancy with multiple severe congenital anomalies with an anticipated poor prognosis
* Patients who speak a primary language other than English or Spanish"
Hypertension,Fetuin A as a Predictor of Deterioration of Renal Function in Hypertonic Patients,"Inclusion Criteria:

* Arterial hypertension treated by at least one antihypertensive agent

Exclusion Criteria:

* Diabetes mellitus of any type, defined as fasting glucose \>7,0 mmol/l or any glycemia \>11,0 mmol/l, or HbA1c\>48 mmol/mol
* Decompensated arterial hypertension defined as office blood pressure \>180/110 mmHg or on Ambulatory Blood Pressure Monitoring (ABPM)
* Patient with renal replacement therapy
* Present rheumatoid disease (rheumatoid arthritis, systemic lupus, sclerodermia, dermatomyositis, Inflammatory Bowel Disease, etc.), positivity of antinuclear antibody (ANA) / extractable nuclear antigen (ENA) screening
* Acute infection defined as C-Reactive Protein (CRP) \>50 mg/l
* Severe impairment of liver function defined as cirrhosis, Alanine Transaminase or ASpartate Transferase (ALT or AST) \>10 µkat/l
* Terminal incurable illness"
Hypertension,Chronic Hypertension and Acetyl Salicylic Acid in Pregnancy,"Inclusion Criteria:

* Pregnant patient between 10 and 19 weeks of gestation + 6 days
* Chronic hypertension, whether treated or not, know before pregnancy or diagnosed before randomization
* Singleton pregnancy
* Signed the written informed consent
* Affiliation to social security

Exclusion Criteria:

* ---Medical history requiring anticoagulation (antiphospholipid syndrome, deep vein thromboembolic disease, pulmonary embolism, atherothrombosis, patient with mechanical heart valves),
* Patient receiving aspirin for another indication outside pregnancy,
* Patient with significant proteinuria (\> 300mg/24 hours or a proteinuria/creatininuria ratio ≥ 30mg/mmol),
* Active bleeding,
* History of severe PE with delivery \< 34 weeks of gestation,
* Hypersensitivity to salicylates such as aspirin and other nonsteroidal anti-inflammatory drugs (NSAIDs),
* Platelet count lower than 100,000 cells/microliter (dosage less than 6 months old),
* Hemostasis disorders, including hemophilia (with thrombocytopenia)
* Any constitutional or acquired hemorrhagic disease, (including digestive hemorrhages, history of hemorrhagic stroke and thrombocytopenia
* Human immunodeficiency virus, or hepatitis B virus, or hepatitis C virus positive serum,
* Patient included in another interventional study which could interfere with the results of the study,
* Age \<18 years old,
* Women under the protection of justice,
* Patients with psychiatric follow-up, poor understanding of French or cognitive problems,
* Duodenal ulcer,
* Severe renal impairment,
* Severe hepatic insufficiency,
* Severe cardiac impairment,
* Gout,
* Patients with known glucose-6-phosphate dehydrogenase deficiency,"
